,tweet_date,tweet_id,text,user_id,username,userLocation,followersCount,friendsCount,statusesCount,favouriteCount,verified
33,Thu Dec 13 00:14:15 +0000 2018,1073008158480711682,Nike Womens Air Zoom Odyssey Chalk Blue/Black/Sl/Hypr Orng Running Shoe 7 Women US For Sale https://t.co/1BfuSmQLk1 https://t.co/kuHmJmfoRA,708795639736504320,vacuumus,United States,15,39,5568,0,False
34,Thu Dec 13 00:14:16 +0000 2018,1073008163518074880,RT @advancxd: Nike x Gucci https://t.co/39zRQEF9Il,4352745136,grr,"Nova Iguaçu, Brasil",1483,1408,44115,9627,False
35,Thu Dec 13 00:14:16 +0000 2018,1073008164830773248,RT @SneakerCon: Nike Fear Of God 1's Will come with a hang tag. https://t.co/EJWD55YUPL,1057780090845753344,TypeOfPeach,"Puebla, México",17,95,5,63,False
36,Thu Dec 13 00:14:17 +0000 2018,1073008169025032192,"RT @sneaker_wars: 【海外12月14日発売予定】 ナイキ ズーム ルーキー ""グローインザダーク"" ホワイト/ブラック (BQ3379-100)
⇒https://t.co/Vc6BV2c6AM
#sneakerwars #スニーカー #NIKE https:/…",101171188,茎わかめシャブシャブᴏᴍs,音ゲー人生,216,55,63022,1454,False
37,Thu Dec 13 00:14:18 +0000 2018,1073008170992316416,RT @comasinduda: enfia no cu essa dica https://t.co/qpF87rGQZT,1041004022617055232,eh doida🇵🇪,no seu coração ,328,306,3448,6489,False
38,Thu Dec 13 00:14:18 +0000 2018,1073008172221243392,Check out Nike Dunk Sky Hi High Wedge Orange (White Swoosh) Suede Sz 9 RARE https://t.co/eQVmT1D0mJ @eBay,1041744510617886721,Charlene,,0,3,1897,1,False
39,Thu Dec 13 00:14:18 +0000 2018,1073008174133841925,@Agus_alcorta25 Marca Nike ?? Ahre,4585052776,francorrado⛾,"Mar del Plata, Argentina",407,1360,21582,16347,False
40,Thu Dec 13 00:14:19 +0000 2018,1073008176361078785,Nike Kobe 8 VIII Elite System 'Superhero' 586156-300 Poison Green Sz 9.5 https://t.co/bSU70lZkgv,855163685169266688,Griffin,US,96,1,617461,13,False
41,Thu Dec 13 00:14:20 +0000 2018,1073008180190425088,RT @brkicks: .@KyrieIrving will wear the player exclusive Nike Kyrie 5 “Neon Blends” tonight against the Wizards. https://t.co/sKXv4JyLZA,3895310173,G R E A T N E S S | H U M B L E,H O U $ T O N | N E W Y O R K ,4389,299,14860,46661,True
42,Thu Dec 13 00:14:20 +0000 2018,1073008182824484870,RT @brkicks: .@KyrieIrving will wear the player exclusive Nike Kyrie 5 “Neon Blends” tonight against the Wizards. https://t.co/sKXv4JyLZA,3123976778,Moe Perez👑,"Orlando, FL",169,169,7661,21096,False
43,Thu Dec 13 00:14:22 +0000 2018,1073008191229882368,RT @brkicks: .@KyrieIrving will wear the player exclusive Nike Kyrie 5 “Neon Blends” tonight against the Wizards. https://t.co/sKXv4JyLZA,1059358980391292928,DeMar Derosen my cack,Brad Stevens OBO plays,1,4,14,16,False
44,Thu Dec 13 00:14:23 +0000 2018,1073008191556878336,"RT @cocoadiosa: so not only has hobi gotten rid of the snow app for good, he also wore nike air jordan’s that was made for black history mo…",1010093585583296512,𝚑𝚘 𝚑𝚘 𝚑𝚘𝚜𝚎𝚘𝚔 🎄,,219,181,3469,8302,False
45,Thu Dec 13 00:14:23 +0000 2018,1073008194933256192,"25% OFF BRAND NEW NIKE AIR VAPORMAX FLYKNIT ‘BLACK / ANTHRACITE’ - UK SIZE 9 -BLACK FRIDAY DEAL
https://t.co/KDLT6aRfDC",2924543185,Wholesaler Agent Direct,,4,55,1594,82,False
46,Thu Dec 13 00:14:24 +0000 2018,1073008196371996672,So I've heard that the driver has delivered the item to the incorrect address 2 weeks ago. They are sending the dri… https://t.co/f546Gc9qpi,21828233,ᴊᴜѕᴛɪɴ,"ᴘᴇʀᴛʜ, ᴡᴇѕᴛᴇʀɴ ᴀᴜѕᴛʀᴀʟɪᴀ.",977,251,55567,131,False
47,Thu Dec 13 00:14:25 +0000 2018,1073008202533494785,"RT @No_Travessao: “A Nike não brinca em serviço” 🔥😍

https://t.co/X2riZRFREh",877253471157858304,PAVARD🇫🇷,Colômbia🇨🇴,811,626,16645,2144,False
48,Thu Dec 13 00:14:26 +0000 2018,1073008204085370881,En cualquier momento vendo algún órgano para ir al Nike de Jumbo y comprarme algo aunque sea unas medias,942224411930910720,Alexis.C 👓,"Quilmes, Argentina",332,461,29281,15389,False
49,Thu Dec 13 00:14:26 +0000 2018,1073008203976167424,Miami 🤩🤩🤩,1059284088694034432,chriss 💤,"California, USA",82,170,44,86,False
50,Thu Dec 13 00:14:29 +0000 2018,1073008216995479553,Nike spazzing on the Kyrie Colorways .... Sheesh 🔥🔥🔥🔥,1394754367,Nathan,"Tampa, FL",462,308,4912,28158,False
51,Thu Dec 13 00:14:29 +0000 2018,1073008217268080641,RT @brkicks: .@KyrieIrving will wear the player exclusive Nike Kyrie 5 “Neon Blends” tonight against the Wizards. https://t.co/sKXv4JyLZA,2960463318,Tjay,"Atlanta, GA",5405,4827,112407,67877,False
52,Thu Dec 13 00:14:29 +0000 2018,1073008218736070656,Would buy.,119221443,Elias Pettersson Fan Account,Chicago ,229,755,27731,399,False
53,Thu Dec 13 00:14:30 +0000 2018,1073008222330593282,I’m stanning 10 times harder omfg,1687570656,𝖒𝖆𝖗𝖈,𝙖𝙜𝙗 𝙠𝙩𝙝 𝙥𝙘𝙮,12548,542,137515,97266,False
54,Thu Dec 13 00:14:30 +0000 2018,1073008224276766722,Why all kyries look the same tho,4153697662,King Slime V🤫,From A Tribe Called CheckaHoe,795,746,25816,4095,False
55,Thu Dec 13 00:14:31 +0000 2018,1073008225925115904,RT @brkicks: .@KyrieIrving will wear the player exclusive Nike Kyrie 5 “Neon Blends” tonight against the Wizards. https://t.co/sKXv4JyLZA,798691395506552832,Carlo$ ☔️,tx,406,261,2418,3741,False
56,Thu Dec 13 00:14:32 +0000 2018,1073008230731837440,"RT @ItsHopeLowie: Le maquillage aujourd’hui, le prix des Nike au pied d’un gilet jaune la semaine dernière, quand un “pauvre” ne ressemble…",411455247,NoirePasBlack🇧🇯🇫🇷,Musulmanie,167,158,22071,7213,False
57,Thu Dec 13 00:14:32 +0000 2018,1073008231973314560,"Oh, these getting got.",288623337,Tight Eye T🛫,Air$pace,131,144,14484,1158,False
58,Thu Dec 13 00:14:33 +0000 2018,1073008233298591744,RT @brkicks: .@KyrieIrving will wear the player exclusive Nike Kyrie 5 “Neon Blends” tonight against the Wizards. https://t.co/sKXv4JyLZA,1014777619504435200,L E X,Ilalim ng lupa,302,192,2517,2345,False
59,Thu Dec 13 00:14:35 +0000 2018,1073008242622717952,"@NBAspain @WorldWideWob @nikebasketball @Nike They all look good, NBA unis are the best",258629840,Micah,,80,242,7068,3782,False
